"","n10","n50","n100","n1000"
"117",0.89235516936203,0.758778853206006,0.696207487038624,0.672943747432211
"118",0.632911506873997,0.697076854812595,0.631838219795987,0.655988724545736
"119",0.601734705489444,0.718957140098032,0.660522618411037,0.706414977202183
"120",0.73519809349552,0.633832552314715,0.728749046325273,0.698976688546095
"121",0.864035194486381,0.716971453914921,0.658414660697032,0.673435081511012
"122",0.411104284761395,0.688952708810946,0.65122069760611,0.70236874929116
"123",0.854720056232751,0.533869180313969,0.568731795715361,0.682458044228011
"124",0.63611429194614,0.625524289399178,0.70176714594473,0.688031411370576
"125",0.693295289370602,0.495596176733493,0.719443240910977,0.674414273378612
"126",0.710705126155013,0.625965057350249,0.686763208704101,0.699010647448896
"127",0.615060449627366,0.667399788246975,0.681848982656981,0.690855474566982
"128",0.59958786679542,0.712162189739248,0.691595716571018,0.673736178633211
"129",0.590876611210456,0.775101291405665,0.65780396153929,0.708912317126698
"130",0.761660385535393,0.611177849744375,0.603793707570419,0.684434289100897
"131",0.45086815451486,0.610938567499209,0.602683591706519,0.691819191735367
"132",0.282854213195419,0.501559705183644,0.73000832336169,0.682149534616651
"133",0.248947750472788,0.694532307564697,0.664583205139164,0.655997367393241
"134",0.942015636315955,0.588750725042907,0.62664087839993,0.692722224300673
"135",0.786156713536123,0.735755039779787,0.68633729208811,0.674707803602094
"136",0.770544882306979,0.729531988119458,0.740540043614636,0.681153782228826
"137",0.534840853008725,0.680219304042299,0.698061655944496,0.669345649386966
"138",0.333198910429525,0.60044275017843,0.650470557118117,0.647757172584402
"139",0.445147031495898,0.559839018938114,0.64628264262064,0.698372032546789
"140",0.621809178964438,0.7164552872015,0.602186610379109,0.668115340081964
"141",0.818854207701341,0.752665176648238,0.706009560617033,0.66095393607221
"142",0.646003868690994,0.702075579513231,0.686637643197257,0.68083662830978
"143",0.723778248617782,0.664258979605475,0.692980349689094,0.682710730265866
"144",0.705579548076201,0.742164383270864,0.675506921258755,0.685906453315564
"145",0.823901484213572,0.618630483428661,0.676260661425633,0.699958826645756
"146",0.743108989620491,0.557857275891534,0.707460883307764,0.684083624909072
"147",0.647860511593624,0.664893648274619,0.683804654491253,0.68004226300287
"148",0.164085715739821,0.697218005039893,0.697932013961828,0.673077040245346
"149",0.614552016771709,0.732285528237042,0.718195248059053,0.670801774255882
"150",0.36660229387354,0.679532339469828,0.699468429693283,0.663225523789023
"151",0.578436036511767,0.732065880055209,0.74457937912577,0.673194183200356
"152",0.496577359654999,0.656937476317529,0.687061382303943,0.663405432518649
"153",0.203718193870227,0.672538659137569,0.767520048812764,0.652967647815239
"154",0.850112733962936,0.634201053895456,0.745623577136792,0.668249578486798
"155",0.659292802951838,0.511509938670491,0.575195153145877,0.669821738394576
"156",0.383256063413223,0.681795130675877,0.734391271679912,0.652453071842586
"157",0.703206264571017,0.575313314773594,0.671283516447145,0.670725694045302
"158",0.731689317091407,0.61193974277413,0.731819058199116,0.675063460566214
"159",0.873172731838454,0.720619911150743,0.652184004424397,0.681637996011775
"160",0.806894628307864,0.617154525382076,0.702318582782942,0.673534741506045
"161",0.31761356032069,0.548822846310569,0.68219841090588,0.68813656510689
"162",0.796813110745541,0.639551839753295,0.594669993223232,0.659714206236362
"163",0.716929251534104,0.596786464860053,0.665363903964546,0.675504180254517
"164",0.881705717454431,0.677281294190665,0.674254897924963,0.678295608411621
"165",0.48149137483095,0.774895155348486,0.677734355321472,0.693587786875587
"166",0.828749588055226,0.621920051145304,0.695400498393701,0.68658708676767
"167",0.761585114193128,0.603611237967639,0.686558123448833,0.653148061646358
"168",0.923821326862121,0.641431708174495,0.664205871229992,0.6625807455877
